mean_review_score_parameters,ratio,days_since_host,cooking basics,dishes and silverware,essentials,hair dryer,hangers,hot water,kitchen,refrigerator,smoke alarm,wifi,host_response_time,room_type,host_has_profile_pic,host_is_superhost,host_identity_verified,has_availability,instant_bookable,price,neighbourhood_cleansed,host_response_rate,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,beds,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,bathrooms
4.909999999999999,0.0,4448.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,True,True,False,100.0,Le Plateau-Mont-Royal,1.0,0.0,3.0,45.52912,-73.57694,3.0,2.0,90.0,450.0,0.0,126.0,34.0,0.33,1.0
4.79,21.0,4513.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,True,198.0,Le Sud-Ouest,1.0,0.98,38.0,45.48177,-73.55727,4.0,2.0,2.0,1125.0,26.0,293.0,223.0,1.62,1.0
4.945,0.0,4562.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,True,180.0,Rosemont-La Petite-Patrie,1.0,1.0,3.0,45.55232,-73.58254,5.0,3.0,31.0,1125.0,0.0,277.0,9.0,0.14,1.0
4.666666666666667,0.0,4407.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,False,True,True,True,100.0,Le Plateau-Mont-Royal,1.0,1.0,2.0,45.50999,-73.5749,2.0,2.0,90.0,1125.0,30.0,365.0,15.0,0.15,1.0
4.866666666666666,0.0,4494.0,0,0,1,0,0,0,1,1,1,1,,Entire home/apt,True,False,True,True,False,220.0,Le Plateau-Mont-Royal,1.0,0.99,1.0,45.51898,-73.56871,4.0,2.0,90.0,1125.0,24.0,359.0,10.0,0.07,2.0
4.87,0.0,4399.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,True,True,True,True,40.0,Rosemont-La Petite-Patrie,1.0,1.0,3.0,45.54967,-73.58588,1.0,2.0,31.0,365.0,0.0,129.0,81.0,0.57,1.0
4.65,0.0,4453.0,1,1,1,0,0,1,1,0,0,1,within an hour,Private room,True,True,True,True,True,47.0,Saint-Laurent,1.0,1.0,5.0,45.52353,-73.68069,1.0,1.0,31.0,1125.0,1.0,169.0,36.0,0.25,0.5
4.8983333333333325,0.0,4718.0,1,1,1,1,1,1,1,0,1,0,within an hour,Entire home/apt,True,True,True,True,False,128.0,Le Plateau-Mont-Royal,1.0,1.0,3.0,45.52459,-73.59616,3.0,2.0,180.0,730.0,30.0,365.0,33.0,0.24,1.0
4.8933333333333335,3.0,4354.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,48.0,Le Plateau-Mont-Royal,1.0,1.0,2.0,45.52916,-73.57174,2.0,1.0,31.0,1125.0,1.0,118.0,66.0,0.48,1.0
4.926666666666667,0.0,4711.0,1,1,1,1,1,1,1,1,0,1,within a few hours,Entire home/apt,True,True,True,True,False,125.0,Le Plateau-Mont-Royal,1.0,0.86,11.0,45.52979,-73.58235,2.0,1.0,32.0,1125.0,0.0,55.0,74.0,0.53,1.0
4.8999999999999995,0.0,4332.0,1,1,1,1,0,1,1,1,1,1,within a few hours,Private room,True,False,True,True,False,40.0,Mercier-Hochelaga-Maisonneuve,1.0,0.72,3.0,45.55646,-73.53311,2.0,1.0,31.0,1125.0,1.0,195.0,28.0,0.21,1.0
4.91,0.0,4321.0,0,0,0,1,0,0,1,0,0,0,,Entire home/apt,True,False,True,True,False,220.0,Le Plateau-Mont-Royal,1.0,0.99,1.0,45.51783,-73.58198,4.0,1.0,365.0,1125.0,30.0,365.0,15.0,0.11,1.0
4.916666666666667,0.0,4312.0,1,1,1,1,1,1,1,1,1,1,within a day,Entire home/apt,True,False,False,True,False,95.0,Côte-des-Neiges-Notre-Dame-de-Grâce,1.0,0.0,1.0,45.46567,-73.61991,4.0,2.0,31.0,364.0,30.0,99.0,6.0,0.04,1.0
4.558333333333333,0.0,4303.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,False,True,True,False,129.0,Le Sud-Ouest,1.0,0.5,4.0,45.4888,-73.57092,5.0,2.0,200.0,730.0,30.0,365.0,25.0,0.18,1.0
4.691666666666666,0.0,4584.0,1,1,1,1,0,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,50.0,Rosemont-La Petite-Patrie,1.0,0.63,3.0,45.5519,-73.57544,2.0,1.0,60.0,1125.0,0.0,164.0,36.0,0.26,1.0
4.868333333333333,0.0,4288.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,75.0,Rosemont-La Petite-Patrie,1.0,1.0,1.0,45.54702,-73.57514,2.0,1.0,32.0,1125.0,6.0,44.0,400.0,2.84,1.0
4.681666666666667,0.0,4513.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,True,112.0,Verdun,1.0,0.98,38.0,45.46853,-73.57173,4.0,1.0,90.0,1125.0,0.0,177.0,12.0,0.09,1.0
4.816666666666667,0.0,4265.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,False,True,True,False,200.0,Le Plateau-Mont-Royal,1.0,0.5,1.0,45.53461,-73.57076,5.0,3.0,5.0,30.0,12.0,222.0,10.0,0.1,1.0
4.95,16.666666666666668,4313.0,0,1,1,1,1,0,1,0,1,1,within a few hours,Entire home/apt,True,True,True,True,False,109.0,Le Plateau-Mont-Royal,1.0,0.95,1.0,45.51614,-73.581,2.0,1.0,3.0,40.0,7.0,222.0,360.0,2.57,1.0
4.913333333333334,0.0,4250.0,1,1,1,1,1,1,1,1,1,0,,Entire home/apt,True,False,True,False,False,90.0,Rosemont-La Petite-Patrie,1.0,0.99,5.0,45.54478,-73.60849,3.0,3.0,32.0,60.0,0.0,0.0,47.0,0.34,1.0
4.881666666666667,0.0,4494.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,True,True,False,252.0,Le Plateau-Mont-Royal,1.0,0.5,3.0,45.52428,-73.58825,4.0,3.0,32.0,1125.0,10.0,332.0,15.0,0.11,2.0
4.88,0.0,4275.0,1,1,0,0,1,1,1,1,0,1,,Private room,True,False,True,True,False,27.0,Le Plateau-Mont-Royal,1.0,0.0,3.0,45.51272,-73.57613,1.0,1.0,31.0,1125.0,0.0,35.0,20.0,0.14,0.5
4.861666666666667,0.0,4439.0,0,0,1,1,1,1,1,0,1,1,within a few hours,Entire home/apt,True,False,True,True,False,285.0,Rosemont-La Petite-Patrie,1.0,0.75,3.0,45.53556,-73.61186,6.0,3.0,6.0,365.0,3.0,74.0,23.0,0.17,1.0
4.824999999999999,37.0,4237.0,1,1,1,1,1,0,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,508.0,Le Sud-Ouest,0.67,0.94,3.0,45.48004,-73.58113,8.0,6.0,31.0,300.0,30.0,362.0,327.0,2.38,2.0
4.825,9.333333333333334,4231.0,0,0,1,1,1,0,1,0,1,1,within an hour,Entire home/apt,True,False,True,True,False,109.0,Ville-Marie,1.0,0.98,1.0,45.50922,-73.5519,4.0,2.0,2.0,1125.0,0.0,0.0,309.0,2.22,1.0
4.915,0.0,4227.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,90.0,Villeray-Saint-Michel-Parc-Extension,1.0,0.82,2.0,45.53689,-73.62379,4.0,2.0,32.0,365.0,4.0,155.0,34.0,0.24,1.0
4.805,0.0,4252.0,1,1,1,1,1,1,1,1,1,1,within a day,Entire home/apt,True,False,True,True,False,70.0,Rosemont-La Petite-Patrie,1.0,0.0,3.0,45.54192,-73.60358,2.0,2.0,90.0,1125.0,0.0,295.0,49.0,0.35,1.0
4.751666666666666,0.0,4534.0,0,0,0,1,0,0,1,0,1,1,,Entire home/apt,True,False,True,True,False,140.0,Le Plateau-Mont-Royal,1.0,0.99,1.0,45.5137,-73.57614,2.0,1.0,180.0,1125.0,0.0,327.0,92.0,0.72,1.0
4.91,0.0,4223.0,1,1,1,1,1,1,1,1,1,0,within a few hours,Entire home/apt,True,True,True,True,False,70.0,Le Plateau-Mont-Royal,1.0,0.71,1.0,45.52952,-73.59487,2.0,1.0,33.0,150.0,23.0,149.0,33.0,0.28,1.0
4.736666666666667,0.0,4369.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,True,True,True,False,88.0,Le Sud-Ouest,1.0,0.6,4.0,45.4873,-73.5733,4.0,2.0,31.0,78.0,30.0,179.0,7.0,0.05,1.0
4.818333333333333,5.5,4215.0,1,1,1,1,1,1,1,1,1,1,a few days or more,Entire home/apt,True,False,True,True,False,91.0,Le Plateau-Mont-Royal,0.33,0.5,6.0,45.53666,-73.58142,2.0,1.0,7.0,1125.0,3.0,216.0,195.0,1.68,1.0
4.878333333333333,0.0,4207.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,95.0,Le Plateau-Mont-Royal,1.0,0.82,2.0,45.5309,-73.56854,4.0,2.0,31.0,1125.0,0.0,301.0,126.0,0.92,1.0
4.778333333333333,0.0,4228.0,1,1,1,1,1,1,1,1,1,1,within a day,Entire home/apt,True,False,True,True,False,50.0,Le Plateau-Mont-Royal,0.6,1.0,3.0,45.53826,-73.5707,2.0,1.0,31.0,1125.0,3.0,221.0,12.0,0.09,1.0
4.851666666666666,0.0,4281.0,0,1,1,0,1,1,1,1,1,1,a few days or more,Private room,True,False,False,True,False,60.0,Mercier-Hochelaga-Maisonneuve,0.0,0.0,1.0,45.5506,-73.5443,2.0,1.0,31.0,1125.0,0.0,312.0,37.0,0.27,0.5
4.783333333333333,0.0,4513.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,False,False,99.0,Verdun,1.0,0.98,38.0,45.46716,-73.57171,4.0,1.0,90.0,1125.0,0.0,0.0,10.0,0.07,1.0
4.866666666666666,0.0,4194.0,0,1,0,0,0,0,1,1,1,1,within a few hours,Private room,True,False,True,True,False,94.0,Lachine,1.0,0.84,2.0,45.43393,-73.68545,2.0,1.0,3.0,10.0,27.0,86.0,103.0,0.75,0.5
4.836666666666667,12.333333333333334,4191.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,113.0,Ville-Marie,1.0,1.0,4.0,45.51757,-73.55598,4.0,2.0,2.0,1125.0,9.0,306.0,128.0,0.93,1.0
4.236666666666667,0.0,4210.0,0,1,1,1,1,1,1,1,1,1,within a day,Entire home/apt,True,False,True,True,False,250.0,Rosemont-La Petite-Patrie,0.8,0.0,3.0,45.53491,-73.60668,8.0,4.0,31.0,1125.0,30.0,365.0,47.0,0.34,1.0
4.833333333333333,0.0,4185.0,1,1,1,1,1,1,1,1,0,1,within an hour,Entire home/apt,True,False,True,True,False,90.0,Rosemont-La Petite-Patrie,1.0,1.0,4.0,45.53776,-73.60568,3.0,1.0,31.0,300.0,29.0,363.0,1.0,0.46,1.0
4.824999999999999,0.0,4177.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,True,True,False,318.0,Le Plateau-Mont-Royal,1.0,0.99,1.0,45.5285,-73.58559,5.0,3.0,31.0,352.0,28.0,363.0,21.0,0.15,1.0
4.973333333333334,0.0,4173.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,False,True,True,False,189.0,Le Plateau-Mont-Royal,1.0,0.63,6.0,45.50652,-73.57523,2.0,1.0,31.0,365.0,11.0,188.0,12.0,0.1,1.0
4.945,0.0,4167.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,115.0,Le Sud-Ouest,1.0,1.0,3.0,45.47907,-73.57308,2.0,1.0,32.0,330.0,21.0,356.0,9.0,0.09,1.0
4.708333333333333,0.0,4165.0,0,0,0,0,0,0,1,1,1,1,within a few hours,Private room,True,False,True,True,False,48.0,Rosemont-La Petite-Patrie,1.0,0.62,2.0,45.54721,-73.59024,1.0,1.0,31.0,1125.0,3.0,338.0,13.0,0.11,1.0
4.8950000000000005,21.0,4191.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,186.0,Ville-Marie,1.0,1.0,4.0,45.51758,-73.55601,6.0,3.0,2.0,1125.0,18.0,222.0,222.0,2.98,1.0
